Feature ID,Domain,Phylum,Class,Order,Family,Genus,Species
053456eb8058c529fba911ffb0825409,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Fokiniaceae,Fokiniaceae,uncultured_Candidatus
dbdc6f5a73b51fbdc9c3daf8e9671ee0,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Fimbriiglobus,uncultured_bacterium
6ffb12e15abfb3ba1e67407757fc2263,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,unassigned
ef59bd692b06bd844bd443ab51ef103f,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,unassigned
0cd986d3fa41118a4d3ae6468ea21980,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,unassigned,unassigned
54e1b35b9bd03cb5c4dbbf63b5f98df4,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,JG30-KF-CM45,uncultured_soil
f915f6c3d9be82a597b94fd3f8690ff9,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter,Verrucomicrobia_bacterium
b5012e246f8cb8a4e8b8f3aef7b0afe2,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,CL500-29_marine_group,metagenome
55bc8441a988b6e9dab8303f50217b48,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,uncultured,uncultured_bacterium
f963be2062b9a088c922feb4752b2de6,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Iamiaceae,Iamia,unassigned
516f36d2264ffb7220a2372159ad037d,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,unassigned,unassigned
c59127e619ba9e6bfd97fd4e124675e3,Bacteria,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
24885a54a45e8e07b8fd9aa56a5c6d53,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Chloroflexaceae,Chloronema,uncultured_bacterium
9bbd9259a5116a5663da5ebdddc9701a,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,uncultured,uncultured,uncultured_bacterium
32a6007e4050bd6aa1f53e585e151d86,Bacteria,Firmicutes,Incertae_Sedis,DTU014,DTU014,DTU014,uncultured_bacterium
f2a158726da09a28fd78ac9b0574f5ea,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Thorselliaceae,Thorsellia,Thorsellia_kandunguensis
8f7530c81cc432df4a9e74b3fcd7a6fc,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Parachlamydiaceae,Candidatus_Protochlamydia,unassigned
54e38eac8ab794a9999a5c549b3b6a2b,Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,uncultured,uncultured_bacterium
75e7f70d4d2bfddbac83e2b118062207,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,unassigned
df1e63f75e5fc1a59dfaaee535f8b167,Bacteria,Firmicutes,Clostridia,Clostridia_UCG-014,Clostridia_UCG-014,Clostridia_UCG-014,uncultured_bacterium
e0436935df68b6dc2817352c17c1220c,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,unassigned,unassigned
a17e1b4cd616cc214d4a197e0dd52aff,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,Puniceispirillales_Incertae_Sedis,Constrictibacter,unassigned
49ee809b4af60ae57d09aebe041567a3,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_florum
7e7b1b9de66bbc9922c87680404893e4,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,uncultured,uncultured_Singulisphaera
dd7f5e34304bc8c0b48c2bb0bdcf2860,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,unassigned
934505c4235f6fb9023ba92809513d66,Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,uncultured,uncultured_bacterium
f35d2f4f7e7b699d9ffc26dd3767e28a,Bacteria,Proteobacteria,Alphaproteobacteria,Holosporales,Holosporaceae,unassigned,unassigned
d470551fb3b4980bdbdd17a11fc422c7,Bacteria,Cyanobacteria,Cyanobacteriia,Phormidesmiales,Nodosilineaceae,Nodosilinea_PCC-7104,unassigned
b8029fcb2bed3d0e545d9903251ac7d3,Bacteria,Patescibacteria,Gracilibacteria,JGI_0000069-P22,JGI_0000069-P22,JGI_0000069-P22,uncultured_bacterium
560d0132aa1f2aa56438a18fb52509ce,Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Solimonadaceae,Nevskia,unassigned
68de66cca2839857c53635f094c16aa5,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,uncultured_bacterium
457b97f3d4eca996f8e0fedd4f5f75db,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,uncultured_bacterium
ae0749bbae38e39d8be2c40e7fe37870,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Aquisphaera,uncultured_bacterium
80156a49f74e047e7ce75972ecfaf2d5,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cytophagaceae,Rhodocytophaga,unassigned
7ea7ffbe1a486d0338a5d5759d0f7517,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Fusibacteraceae,Fusibacter,unassigned
029aac45607da5c4dc4285b0bb073c41,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Puniceicoccaceae,Verruc-01,uncultured_bacterium
a0742302ca6a9ac6eea0356fec1647ac,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Spirosoma,unassigned
c1ca45dfe4122afca67d5221329add30,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,unassigned,unassigned
139b346982b769cdb79867b509833ec9,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,uncultured_beta
ab98a6dcc335984a12e55132ee7535a7,Bacteria,Proteobacteria,Alphaproteobacteria,Caedibacterales,Caedibacteraceae,Candidatus_Nucleicultrix,uncultured_bacterium
7e55e39c4d9d48ebc927ec1c90426df8,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Amoebophilaceae,Candidatus_Paenicardinium,Candidatus_Cardinium
68bd6b0da33c3b2c9d458099f3f1cdc8,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Candidatus_Aquiluna,uncultured_bacterium
2ae9478b1626a3aa15a84c1c5183a9d7,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Peredibacter,Bacteriovorax_sp.
89174c5229653b58e058b88b2998e35e,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter,unassigned
55be763445434285fd3c4811ba7ff373,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Pseudochlorella_signiensis
83f0a33374ec71e43d0091bb77c4604d,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,env.OPS_17,env.OPS_17,unassigned
c81b6847fec042611cc3494dc1711a55,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,unassigned
5afc1514d1dddf2cd065f55f5ad0eea1,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Peredibacter,microbial_mat
a6d29a52d49dd666df358051f48c3ad0,Unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
5e0f08061d66d88abe22978b9273b28a,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,UKL13-1,unassigned
23b4a29b0157ac18093adb3c7489ebe3,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,uncultured,Isosphaera_sp.
c713dd2b8cc09bdaf156fc8d07de6361,Bacteria,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
67798ad2a9a78d73593c0afd8d5ee6c9,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,uncultured_bacterium
db12b552ee04811f0b07ae786a4a2b05,Bacteria,Dependentiae,Babeliae,Babeliales,Babeliaceae,Babeliaceae,uncultured_bacterium
d6d6296a6f33f814743ff51845454aa3,Bacteria,Proteobacteria,Alphaproteobacteria,unassigned,unassigned,unassigned,unassigned
7c582257c79a1dc6f66287e07a1d16b0,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,A4b,uncultured_bacterium
022ad8e97714db1259070a7dd5786652,Bacteria,Bdellovibrionota,Oligoflexia,Oligoflexales,Oligoflexales,Oligoflexus,uncultured_bacterium
8b693bdb5f42b3711cba6281d4df6017,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Chlorotetraedron_incus
88b26dc9057a0679b88316984883d18e,Bacteria,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
dd86d969d72983857480c394c50efc1d,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium,unassigned
d30ae122e5ee2335258578b7587ae063,Bacteria,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
f11507ae6608d63ff2e739a772441a6f,Bacteria,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
c15393d886f8aaad2fef09abc00c2c92,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12_marine_group,NS11-12_marine_group,uncultured_Bacteroidetes
5fcc52ca86eb2f6c2617246f39292a92,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,LD29,uncultured_bacterium
34daaa6e1e33aa101bb4922a5a3d2ab2,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,unassigned
ec92ee9aef1cac8fffd3930c7f5d155f,Bacteria,Desulfobacterota,Desulfuromonadia,PB19,PB19,PB19,unassigned
44245871134a7a84ac8e3049b9769980,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cytophagaceae,Rhodocytophaga,uncultured_Bacteroidetes
1a28d647bd01f7cfb92f21c8dc0b0c27,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter_qilianensis
23ee9a0d481c7e0c7d321b447eaf9fb9,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,metagenome
00fa695ed7177a35735085df8b66cdae,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,unassigned,unassigned
df69480b570421674819d9bf0acd2634,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,unassigned
44df47c222b2b28f6f6b039ac041fa13,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera,unassigned
1079f21afdbf70d0e4cb2d323195e44a,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,uncultured_phototrophic
4bfcb9ed8fcab81e535c61f79c1d65e9,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,0319-6G20,0319-6G20,uncultured_soil
85249f0797796631b7bbab6fc4d0cc6b,Bacteria,Sumerlaeota,Sumerlaeia,Sumerlaeales,Sumerlaeaceae,Sumerlaea,unassigned
a477e848a06653a9f6ffad651f115adf,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Anaerovorax,unassigned
6b88163286193e9c8f32d4b666af8838,Bacteria,Patescibacteria,Parcubacteria,Candidatus_Kaiserbacteria,Candidatus_Kaiserbacteria,Candidatus_Kaiserbacteria,metagenome
e8a7812f76532ef6a4d69e719957b24d,Bacteria,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
edeac8a2bc97b16d5887cc77c12047af,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Parachlamydiaceae,Neochlamydia,uncultured_Chlamydiales
a39e490e837e28e835628cfd6e263c15,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,uncultured_prokaryote
b0837a3f6c4032b918842871fcf22591,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Tundrisphaera,unassigned
40bdcc2ad1aaa41360a185f325311fb4,Bacteria,Dependentiae,Babeliae,Babeliales,Babeliaceae,Babeliaceae,uncultured_organism
b810bf4eba8ee6af55ebf5108c963bd1,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,uncultured_bacterium
587668b45c63d8bb215908ea0a1b277c,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,unassigned
124402fc5fd21d4ff30f4c4ea7128f5c,Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,uncultured,uncultured,metagenome
028d299b274c8d15acffecaf6f2e64ae,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter_qilianensis
1046cb7fb92ea938917c8ab826db1a8a,Bacteria,Bacteroidota,Bacteroidia,unassigned,unassigned,unassigned,unassigned
e8c2784679340364bd315aa494aaf6f6,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Bilophila,uncultured_bacterium
be187c1bfc339389c295dcc141b329ba,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiales,unassigned,unassigned
